PKUID,ID,ROW,COL,SS,bay_heads_GHB_index
8680,0,14,80,0.3315982199274,1
8681,0,14,81,0.33061178214848,1
8682,0,14,82,0.329373008571565,1
8683,0,14,83,0.328049269039184,1
8684,0,14,84,0.326756284106523,1
8685,0,14,85,0.325869690161198,1
8686,0,14,86,0.325202884152532,1
8687,0,14,87,0.3249850156717,1
8688,0,14,88,0.325180326122791,1
8689,0,14,89,0.325892247259617,1
8690,0,14,90,0.327083342708647,1
8691,0,14,91,0.328494872897863,1
8692,0,14,92,0.330469275359064,1
8693,0,14,93,0.332489171531051,1
8694,0,14,94,0.334919170942158,1
8695,0,14,95,0.337280475534499,1
8696,0,14,96,0.339133890811354,1
8697,0,14,97,0.340742019470781,1
8698,0,14,98,0.341496736742556,1
8699,0,14,99,0.341407927218825,1
8700,0,14,100,0.340473658870906,1
8701,0,13,1,0.982128042727709,1
8702,0,13,2,0.975537019781768,1
8703,0,13,3,0.969811824150383,1
8704,0,13,4,0.963551700115204,1
8705,0,13,5,0.957405882887542,1
8706,0,13,6,0.951937385834754,1
8707,0,13,7,0.945261522196233,1
8708,0,13,8,0.93767805211246,1
8709,0,13,9,0.929822231642902,1
8710,0,13,10,0.919267144054174,1
8711,0,13,11,0.908010782673955,1
8712,0,13,12,0.88977340888232,1
8713,0,13,13,0.858244550414383,1
8714,0,13,14,0.823905568569899,1
8715,0,13,15,0.782404478639364,1
8716,0,13,16,0.745752104558051,1
8717,0,13,17,0.709696190431714,1
8718,0,13,18,0.684150743298233,1
8719,0,13,19,0.668796543963253,1
8720,0,13,20,0.650190081447363,1
8721,0,13,21,0.625993246212602,1
8722,0,13,22,0.596662789583206,1
8723,0,13,23,0.553393508307636,1
8724,0,13,24,0.50987445237115,1
8725,0,13,25,0.458635546732694,1
8726,0,13,26,0.407978218980134,1
8727,0,13,27,0.365924641489983,1
8728,0,13,28,0.322260381653905,1
8729,0,13,29,0.283790479414165,1
8730,0,13,30,0.255445434013382,1
8731,0,13,31,0.229058637749404,1
8732,0,13,32,0.21025814069435,1
8733,0,13,33,0.192647976800799,1
8734,0,13,34,0.178189341211691,1
8735,0,13,35,0.167371667223051,1
8736,0,13,36,0.157327043358237,1
8737,0,13,37,0.150850971927866,1
8738,0,13,38,0.149486348265782,1
8739,0,13,39,0.148714580573142,1
8740,0,13,40,0.147850669687614,1
8741,0,13,41,0.149932081345469,1
8742,0,13,42,0.158815212547779,1
8743,0,13,43,0.168400903698057,1
8744,0,13,44,0.178877548314631,1
8745,0,13,45,0.186591880163178,1
8746,0,13,46,0.189842090243474,1
8747,0,13,47,0.189926803810522,1
8748,0,13,48,0.186710298527032,1
8749,0,13,49,0.180987922474742,1
8750,0,13,50,0.175439842510968,1
8751,0,13,51,0.1767161663156,1
8752,0,13,52,0.185448967386037,1
8753,0,13,53,0.198521192185581,1
8754,0,13,54,0.213904615491629,1
8755,0,13,55,0.228116678539664,1
8756,0,13,56,0.240196961676702,1
8757,0,13,57,0.254052485805005,1
8758,0,13,58,0.266048696357757,1
8759,0,13,59,0.276293119415641,1
8760,0,13,60,0.288652531802654,1
8761,0,13,61,0.299791110213846,1
8762,0,13,62,0.311765792313963,1
8763,0,13,63,0.317315281368792,1
8764,0,13,64,0.317778573837131,1
8765,0,13,65,0.315584767609835,1
8766,0,13,66,0.31460641277954,1
8767,0,13,67,0.314669338054955,1
8768,0,13,68,0.316180446185172,1
8769,0,13,69,0.319095908664167,1
8770,0,13,70,0.323831207118928,1
8771,0,13,71,0.326415511313826,1
8772,0,13,72,0.327917390037328,1
8773,0,13,73,0.328861280810088,1
8774,0,13,74,0.328802581410855,1
8775,0,13,75,0.328523711301386,1
8776,0,13,76,0.328377995640039,1
8777,0,13,77,0.328625213820487,1
8778,0,13,78,0.329343148972839,1
8779,0,13,79,0.329734415747225,1
8780,0,13,80,0.32962483773008,1
8781,0,13,81,0.329204481095076,1
8782,0,13,82,0.328478854615241,1
8783,0,13,83,0.327524589840323,1
8784,0,13,84,0.326594037935138,1
8785,0,13,85,0.325977215077728,1
8786,0,13,86,0.32555941818282,1
8787,0,13,87,0.325550702866167,1
8788,0,13,88,0.325890196021646,1
8789,0,13,89,0.326725657563657,1
8790,0,13,90,0.328006078489125,1
8791,0,13,91,0.329438627231866,1
8792,0,13,92,0.331405467819422,1
8793,0,13,93,0.333289384376258,1
8794,0,13,94,0.335522660519928,1
8795,0,13,95,0.337742870673537,1
8796,0,13,96,0.339389827102423,1
8797,0,13,97,0.340812506619841,1
8798,0,13,98,0.341565689072013,1
8799,0,13,99,0.34172242693603,1
8800,0,13,100,0.341246064286679,1
8801,0,12,1,0.978760311380029,1
8802,0,12,2,0.973422414623201,1
8803,0,12,3,0.968620722182095,1
8804,0,12,4,0.963115065358579,1
8805,0,12,5,0.95749778021127,1
8806,0,12,6,0.952339295297861,1
8807,0,12,7,0.94572532363236,1
8808,0,12,8,0.938094170764089,1
8809,0,12,9,0.930253478698432,1
8810,0,12,10,0.919543066993356,1
8811,0,12,11,0.907703467644751,1
8812,0,12,12,0.888748410157859,1
8813,0,12,13,0.8617829894647,1
8814,0,12,14,0.83334528002888,1
8815,0,12,15,0.79800986032933,1
8816,0,12,16,0.767051033675671,1
8817,0,12,17,0.735601114109159,1
8818,0,12,18,0.710093730129302,1
8819,0,12,19,0.691272346302867,1
8820,0,12,20,0.668929950334132,1
8821,0,12,21,0.641796252690256,1
8822,0,12,22,0.611945738084614,1
8823,0,12,23,0.57010592892766,1
8824,0,12,24,0.528571006841958,1
8825,0,12,25,0.47882462805137,1
8826,0,12,26,0.428815269377083,1
8827,0,12,27,0.386750417295843,1
8828,0,12,28,0.342588644009084,1
8829,0,12,29,0.303694670088589,1
8830,0,12,30,0.27532988646999,1
8831,0,12,31,0.249460335122421,1
8832,0,12,32,0.231381240068004,1
8833,0,12,33,0.213898081565276,1
8834,0,12,34,0.200453685596585,1
8835,0,12,35,0.191098548239097,1
8836,0,12,36,0.182757014175877,1
8837,0,12,37,0.178151279687881,1
