PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
294,0,98,94,1.85252655670047,1
295,0,98,95,1.39859813079238,1
296,0,98,96,0.900863170623779,1
297,0,98,97,0.338356361491606,1
298,0,98,98,-0.534232497273479,1
299,0,98,99,-2.13855366129428,1
300,0,98,100,-3.67060479521751,1
301,0,97,1,17.5566197633743,1
302,0,97,2,17.5145261287689,1
303,0,97,3,17.5146680474281,1
304,0,97,4,17.5576288700104,1
305,0,97,5,17.6315327882767,1
306,0,97,6,17.6823751330376,1
307,0,97,7,17.7156096696854,1
308,0,97,8,17.6831578016281,1
309,0,97,9,17.5540134310722,1
310,0,97,10,17.3008635342121,1
311,0,97,11,17.036238014698,1
312,0,97,12,16.6912242770195,1
313,0,97,13,16.3098967373371,1
314,0,97,14,15.957668736577,1
315,0,97,15,15.5402220934629,1
316,0,97,16,15.1608860343695,1
317,0,97,17,14.720267355442,1
318,0,97,18,14.287041336298,1
319,0,97,19,13.9225861281157,1
320,0,97,20,13.4932275265455,1
321,0,97,21,13.0245866626501,1
322,0,97,22,12.5576688945293,1
323,0,97,23,12.0405399054289,1
324,0,97,24,11.6126841753721,1
325,0,97,25,11.1601954102516,1
326,0,97,26,10.8020505905151,1
327,0,97,27,10.6658548116684,1
328,0,97,28,10.6971662342548,1
329,0,97,29,10.916598200798,1
330,0,97,30,11.249027505517,1
331,0,97,31,11.7648062556982,1
332,0,97,32,12.2697398513556,1
333,0,97,33,12.6924672573805,1
334,0,97,34,12.7491734474897,1
335,0,97,35,12.4303742945194,1
336,0,97,36,12.0218812525272,1
337,0,97,37,11.7236480116844,1
338,0,97,38,11.6547146439552,1
339,0,97,39,11.8276498764753,1
340,0,97,40,11.9800399392843,1
341,0,97,41,12.1290724277496,1
342,0,97,42,12.2738278508186,1
343,0,97,43,12.4166916161776,1
344,0,97,44,12.6071819961071,1
345,0,97,45,12.8218847513199,1
346,0,97,46,13.0078615993261,1
347,0,97,47,13.2012839615345,1
348,0,97,48,13.3104192912579,1
349,0,97,49,13.223746702075,1
350,0,97,50,12.9768287390471,1
351,0,97,51,12.7193386256695,1
352,0,97,52,12.4178896993399,1
353,0,97,53,12.1359926462173,1
354,0,97,54,11.8176767975092,1
355,0,97,55,11.5082409232855,1
356,0,97,56,11.2298855483532,1
357,0,97,57,10.9487135410309,1
358,0,97,58,10.6495765447617,1
359,0,97,59,10.3621149808168,1
360,0,97,60,10.0595153719187,1
361,0,97,61,9.82155080139637,1
362,0,97,62,9.55424545705318,1
363,0,97,63,9.28365597128868,1
364,0,97,64,9.05866485834122,1
365,0,97,65,8.81093220412731,1
366,0,97,66,8.56066191196442,1
367,0,97,67,8.35190697014332,1
368,0,97,68,8.13236995786428,1
369,0,97,69,7.96226696670055,1
370,0,97,70,7.78704091906548,1
371,0,97,71,7.62006440013647,1
372,0,97,72,7.46787390857935,1
373,0,97,73,7.30795934796333,1
374,0,97,74,7.1673339009285,1
375,0,97,75,7.0204451456666,1
376,0,97,76,6.78599072992802,1
377,0,97,77,6.49462511390448,1
378,0,97,78,6.14611195027828,1
379,0,97,79,5.81816463172436,1
380,0,97,80,5.55791074037552,1
381,0,97,81,5.25670870393515,1
382,0,97,82,4.93433645367622,1
383,0,97,83,4.64279741793871,1
384,0,97,84,4.30417309701443,1
385,0,97,85,4.00435825809836,1
386,0,97,86,3.70200549811125,1
387,0,97,87,3.48626746237278,1
388,0,97,88,3.31543942540884,1
389,0,97,89,3.0779005587101,1
390,0,97,90,2.82077830657363,1
391,0,97,91,2.5910371132195,1
392,0,97,92,2.27604212425649,1
