PKUID,ID,ROW,COL,BORDER,ACTIVE,TOP,BOTTOM,THICKNESS,STRT,KX,KY,KZ,SS,SY,NT,NE,WETDRY
88,0,100,88,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
89,0,100,89,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
90,0,100,90,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
91,0,100,91,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
92,0,100,92,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
93,0,100,93,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
94,0,100,94,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
95,0,100,95,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
96,0,100,96,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
97,0,100,97,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
98,0,100,98,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
99,0,100,99,1,1,0.0475,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
100,0,100,100,1,1,0.9959,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
101,0,99,1,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
102,0,99,2,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
103,0,99,3,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
104,0,99,4,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
105,0,99,5,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
106,0,99,6,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
107,0,99,7,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
108,0,99,8,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
109,0,99,9,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
110,0,99,10,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
111,0,99,11,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
112,0,99,12,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
113,0,99,13,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
114,0,99,14,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
115,0,99,15,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
116,0,99,16,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
117,0,99,17,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
118,0,99,18,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
119,0,99,19,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
120,0,99,20,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
121,0,99,21,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
122,0,99,22,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
123,0,99,23,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
124,0,99,24,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
125,0,99,25,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
126,0,99,26,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
127,0,99,27,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
128,0,99,28,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
129,0,99,29,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
130,0,99,30,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
131,0,99,31,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
132,0,99,32,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
133,0,99,33,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
134,0,99,34,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
135,0,99,35,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
136,0,99,36,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
137,0,99,37,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
138,0,99,38,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
139,0,99,39,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
140,0,99,40,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
